,rt_userid,cong_original_ID,overall,max_pol,weighted_pol,weighted_pol_binary,pol_count,congressperson,Incivility,cong_position,is_policy,CAP_Policy,cat
124,337898,24287121095,0.05,-2.0,-1.4488636363636362,-0.8806818181818182,176.0,russfeingold,0.10797324,D,0,0,
125,1190713,24287121095,0.08,0.0,0.6666666666666666,0.3333333333333333,3.0,russfeingold,0.10797324,D,0,0,
126,873432,24287121095,0.31,-1.0,-0.9829545454545454,-0.7329545454545454,176.0,russfeingold,0.10797324,D,0,0,
127,326260,24287121095,0.61,-2.0,-1.3478260869565217,-0.8217391304347826,230.0,russfeingold,0.10797324,D,0,0,
128,681124,13026792609,0.48,0.0,-0.75,-0.375,8.0,SenArlenSpecter,0.0610401,D,0,0,
129,388177,24489431086,0.09,-1.0,-0.6274509803921569,-0.5490196078431373,102.0,blanche4senate,0.033104762,D,0,0,
130,291572,21443561623,0.33,-2.0,-1.115979381443299,-0.7345360824742269,388.0,AlanGrayson,0.22735678,D,1,15,
131,1294852,21443561623,0.24,-1.0,-0.6499999999999999,-0.5,20.0,AlanGrayson,0.22735678,D,1,15,
132,1317151,21443561623,0.41,-1.0,-1.0490196078431373,-0.8366013071895425,306.0,AlanGrayson,0.22735678,D,1,15,
133,1245967,21443561623,0.4,-2.0,-1.6352459016393441,-0.9354508196721312,976.0,AlanGrayson,0.22735678,D,1,15,
134,1106359,21443561623,0.37,-1.0,-0.35000000000000003,-0.4,20.0,AlanGrayson,0.22735678,D,1,15,
135,331663,21443561623,0.06,-1.0,-0.8832116788321168,-0.7226277372262774,137.0,AlanGrayson,0.22735678,D,1,15,
136,372444,21443561623,0.12,-2.0,-1.5535714285714286,-0.8988095238095238,336.0,AlanGrayson,0.22735678,D,1,15,
137,284387,21443561623,0.02,-1.0,-1.0149253731343284,-0.7014925373134328,67.0,AlanGrayson,0.22735678,D,1,15,
138,59816,21443561623,0.06,-1.0,-1.1473684210526316,-0.7789473684210526,95.0,AlanGrayson,0.22735678,D,1,15,
139,185265,27153406913,,0.0,0.0,0.0,1.0,russfeingold,0.065054365,D,0,0,
140,1317151,27153406913,0.41,-1.0,-1.0490196078431373,-0.8366013071895425,306.0,russfeingold,0.065054365,D,0,0,
141,215312,27153406913,0.14,-1.0,-0.6000000000000001,-0.5333333333333333,30.0,russfeingold,0.065054365,D,0,0,
142,339135,27153406913,0.23,-2.0,-0.8739495798319328,-0.6218487394957983,238.0,russfeingold,0.065054365,D,0,0,
143,631139,27153406913,0.11,-1.0,-0.75,-0.6666666666666666,48.0,russfeingold,0.065054365,D,0,0,
144,173275,27153406913,0.04,-1.0,-0.9178743961352659,-0.6859903381642511,207.0,russfeingold,0.065054365,D,0,0,
145,240665,27153406913,0.13,-2.0,-1.1134564643799472,-0.7335092348284961,379.0,russfeingold,0.065054365,D,0,0,
146,447978,27153406913,0.34,-2.0,-0.9333333333333333,-0.6333333333333333,60.0,russfeingold,0.065054365,D,0,0,
147,1414075,27153406913,0.17,-1.0,-0.75,-0.75,8.0,russfeingold,0.065054365,D,0,0,
